x_px,y_px
2.590924682617187500e+02,4.465047607421875000e+02
2.620384826660156250e+02,4.463754272460937500e+02
2.649854431152343750e+02,4.462489318847656250e+02
2.679333190917968750e+02,4.461254272460937500e+02
2.708820495605468750e+02,4.460050048828125000e+02
2.738316040039062500e+02,4.458877868652343750e+02
2.767819519042968750e+02,4.457739257812500000e+02
2.797330627441406250e+02,4.456634826660156250e+02
2.826849060058593750e+02,4.455566406250000000e+02
2.856374206542968750e+02,4.454534606933593750e+02
2.885906066894531250e+02,4.453541259765625000e+02
2.915444030761718750e+02,4.452586975097656250e+02
2.944987487792968750e+02,4.451673278808593750e+02
2.974536743164062500e+02,4.450801086425781250e+02
3.004090881347656250e+02,4.449971923828125000e+02
3.033649902343750000e+02,4.449186401367187500e+02
3.063213195800781250e+02,4.448446655273437500e+02
3.092780456542968750e+02,4.447752990722656250e+02
3.122351379394531250e+02,4.447106933593750000e+02
3.151925659179687500e+02,4.446509704589843750e+02
3.181502990722656250e+02,4.445962524414062500e+02
3.211082763671875000e+02,4.445466613769531250e+02
3.240664978027343750e+02,4.445022888183593750e+02
3.270249023437500000e+02,4.444632873535156250e+02
3.299834289550781250e+02,4.444297485351562500e+02
3.329421081542968750e+02,4.444018249511718750e+02
3.359008483886718750e+02,4.443795776367187500e+02
3.388596496582031250e+02,4.443631896972656250e+02
3.418184509277343750e+02,4.443527526855468750e+02
3.447772216796875000e+02,4.443483581542968750e+02
3.477359313964843750e+02,4.443501892089843750e+02
3.506945495605468750e+02,4.443583068847656250e+02
3.536530456542968750e+02,4.443728637695312500e+02
3.566113586425781250e+02,4.443939514160156250e+02
3.595694580078125000e+02,4.444217224121093750e+02
3.625273437500000000e+02,4.444562683105468750e+02
3.654849243164062500e+02,4.444977111816406250e+02
3.684422302246093750e+02,4.445461730957031250e+02
3.713991699218750000e+02,4.446017761230468750e+02
3.743557128906250000e+02,4.446646728515625000e+02
3.773118591308593750e+02,4.447349243164062500e+02
3.802675476074218750e+02,4.448126525878906250e+02
3.832227478027343750e+02,4.448980102539062500e+02
3.861773986816406250e+02,4.449911193847656250e+02
3.891315307617187500e+02,4.450920715332031250e+02
3.920850219726562500e+02,4.452010192871093750e+02
3.950379333496093750e+02,4.453180236816406250e+02
3.979901428222656250e+02,4.454432678222656250e+02
4.009416503906250000e+02,4.455768127441406250e+02
4.038924255371093750e+02,4.457188415527343750e+02
4.068424377441406250e+02,4.458694152832031250e+02
4.097916259765625000e+02,4.460286865234375000e+02
4.127399597167968750e+02,4.461967773437500000e+02
4.156874389648437500e+02,4.463737792968750000e+02
4.186339721679687500e+02,4.465598449707031250e+02
4.215795593261718750e+02,4.467550354003906250e+02
4.245241699218750000e+02,4.469595336914062500e+02
4.274677734375000000e+02,4.471734313964843750e+02
4.304102783203125000e+02,4.473968505859375000e+02
4.333517150878906250e+02,4.476299133300781250e+02
4.362920227050781250e+02,4.478727416992187500e+02
4.392311401367187500e+02,4.481254272460937500e+02
4.421690979003906250e+02,4.483881225585937500e+02
4.451057739257812500e+02,4.486609497070312500e+02
4.480411987304687500e+02,4.489439697265625000e+02
4.509753112792968750e+02,4.492373657226562500e+02
4.539080810546875000e+02,4.495412292480468750e+02
4.568395080566406250e+02,4.498554382324218750e+02
4.597696533203125000e+02,4.501798095703125000e+02
4.626984863281250000e+02,4.505141906738281250e+02
4.656260681152343750e+02,4.508583679199218750e+02
4.685523681640625000e+02,4.512121582031250000e+02
4.714774780273437500e+02,4.515754089355468750e+02
4.744013977050781250e+02,4.519479370117187500e+02
4.773241271972656250e+02,4.523294982910156250e+02
4.802456970214843750e+02,4.527200012207031250e+02
4.831661376953125000e+02,4.531191711425781250e+02
4.860854797363281250e+02,4.535268859863281250e+02
4.890037536621093750e+02,4.539429321289062500e+02
4.919209289550781250e+02,4.543671569824218750e+02
4.948370971679687500e+02,4.547993469238281250e+02
4.977521972656250000e+02,4.552393188476562500e+02
5.006663818359375000e+02,4.556869201660156250e+02
5.035795288085937500e+02,4.561419372558593750e+02
5.064917602539062500e+02,4.566041870117187500e+02
5.094030761718750000e+02,4.570735168457031250e+02
5.123134765625000000e+02,4.575497131347656250e+02
5.152229614257812500e+02,4.580325927734375000e+02
5.181316528320312500e+02,4.585220031738281250e+02
5.210394897460937500e+02,4.590177307128906250e+02
5.239464721679687500e+02,4.595196228027343750e+02
5.268527221679687500e+02,4.600274353027343750e+02
5.297581787109375000e+02,4.605410461425781250e+02
5.326629028320312500e+02,4.610602416992187500e+02
5.355668945312500000e+02,4.615848693847656250e+02
5.384701538085937500e+02,4.621147155761718750e+02
5.413728027343750000e+02,4.626495971679687500e+02
5.442747802734375000e+02,4.631893615722656250e+02
5.471760864257812500e+02,4.637337646484375000e+02
5.500768432617187500e+02,4.642826843261718750e+02
5.529769897460937500e+02,4.648359375000000000e+02
5.558765869140625000e+02,4.653932800292968750e+02
5.587755737304687500e+02,4.659545898437500000e+02
5.616741333007812500e+02,4.665196533203125000e+02
5.645721435546875000e+02,4.670883178710937500e+02
5.674697265625000000e+02,4.676603393554687500e+02
5.703668823242187500e+02,4.682355957031250000e+02
5.732635498046875000e+02,4.688138732910156250e+02
5.761598510742187500e+02,4.693949890136718750e+02
5.790557250976562500e+02,4.699787902832031250e+02
5.819512939453125000e+02,4.705650634765625000e+02
5.848465576171875000e+02,4.711536254882812500e+02
5.877414550781250000e+02,4.717442932128906250e+02
5.906360473632812500e+02,4.723368835449218750e+02
5.935303955078125000e+02,4.729312438964843750e+02
5.964244995117187500e+02,4.735271606445312500e+02
5.993184204101562500e+02,4.741244506835937500e+02
6.022120971679687500e+02,4.747229309082031250e+02
6.051056518554687500e+02,4.753224487304687500e+02
6.079990234375000000e+02,4.759227600097656250e+02
6.108922119140625000e+02,4.765237426757812500e+02
6.137853393554687500e+02,4.771251831054687500e+02
6.166784057617187500e+02,4.777268981933593750e+02
6.195714111328125000e+02,4.783287353515625000e+02
6.224643554687500000e+02,4.789304504394531250e+02
6.253572998046875000e+02,4.795319213867187500e+02
6.282502441406250000e+02,4.801329345703125000e+02
6.311431884765625000e+02,4.807333068847656250e+02
6.340361938476562500e+02,4.813329772949218750e+02
6.369292602539062500e+02,4.819319152832031250e+02
6.398223876953125000e+02,4.825300903320312500e+02
6.427155151367187500e+02,4.831275024414062500e+02
6.456087646484375000e+02,4.837241210937500000e+02
6.485020751953125000e+02,4.843199462890625000e+02
6.513954467773437500e+02,4.849149475097656250e+02
6.542888793945312500e+02,4.855091247558593750e+02
6.571823730468750000e+02,4.861024169921875000e+02
6.600759887695312500e+02,4.866948547363281250e+02
6.629697265625000000e+02,4.872864074707031250e+02
6.658635253906250000e+02,4.878770446777343750e+02
6.687574462890625000e+02,4.884667358398437500e+02
6.716514892578125000e+02,4.890555114746093750e+02
6.745455932617187500e+02,4.896433105468750000e+02
6.774398803710937500e+02,4.902301330566406250e+02
6.803342285156250000e+02,4.908159484863281250e+02
6.832287597656250000e+02,4.914007263183593750e+02
6.861234130859375000e+02,4.919844970703125000e+02
6.890181884765625000e+02,4.925672302246093750e+02
6.919131469726562500e+02,4.931488647460937500e+02
6.948082275390625000e+02,4.937294311523437500e+02
6.977034912109375000e+02,4.943088989257812500e+02
7.005988769531250000e+02,4.948872375488281250e+02
7.034944458007812500e+02,4.954644165039062500e+02
7.063901977539062500e+02,4.960404663085937500e+02
7.092860717773437500e+02,4.966153259277343750e+02
7.121821899414062500e+02,4.971889648437500000e+02
7.150784912109375000e+02,4.977614746093750000e+02
7.179749755859375000e+02,4.983327026367187500e+02
7.208716430664062500e+02,4.989026489257812500e+02
7.237685546875000000e+02,4.994713745117187500e+02
7.266656494140625000e+02,5.000388183593750000e+02
7.295629272460937500e+02,5.006049804687500000e+02
7.324604492187500000e+02,5.011697998046875000e+02
7.353582153320312500e+02,5.017332763671875000e+02
7.382561645507812500e+02,5.022954101562500000e+02
7.411544189453125000e+02,5.028561401367187500e+02
