x_m,y_m
-6.983659968165584075e+01,5.373758680876149185e+01
-6.966584868678279463e+01,5.374508297819508584e+01
-6.949504285914606783e+01,5.375241464933766622e+01
-6.932418396754451351e+01,5.375957297819508085e+01
-6.915327554957575273e+01,5.376655265837086972e+01
-6.898231937403865288e+01,5.377334661466969123e+01
-6.881131720973201027e+01,5.377994600309742168e+01
-6.864027082545466385e+01,5.378634728605641158e+01
-6.846918199000543837e+01,5.379253985075368405e+01
-6.829805424098201172e+01,5.379852015959157541e+01
-6.812688757838435549e+01,5.380427759977712299e+01
-6.795568553981013338e+01,5.380980863371266310e+01
-6.778445166285700907e+01,5.381510441740407202e+01
-6.761318417872614361e+01,5.382015964445484713e+01
-6.744188839381403966e+01,5.382496547087086469e+01
-6.727056430812068299e+01,5.382951835905446103e+01
-6.709921545924372310e+01,5.383380592741383452e+01
-6.692784361598199894e+01,5.383782640715016043e+01
-6.675645054713434945e+01,5.384157095426930084e+01
-6.658503802149958517e+01,5.384503249357594257e+01
-6.641360780787653084e+01,5.384820394987477243e+01
-6.624216344386286437e+01,5.385107824797047726e+01
-6.607070492945857154e+01,5.385365008146656862e+01
-6.589923580226130184e+01,5.385591060636890859e+01
-6.572775959986873318e+01,5.385785451628102294e+01
-6.555627455348201238e+01,5.385947296720875954e+01
-6.538478596949762789e+01,5.386076242155445470e+01
-6.521329384791559391e+01,5.386171226652515998e+01
-6.504180172633357415e+01,5.386231719572438692e+01
-6.487031137355036492e+01,5.386257190275563289e+01
-6.469882455836481938e+01,5.386246577482594944e+01
-6.452734304957576228e+01,5.386199527433765866e+01
-6.435586861598200414e+01,5.386115155729665105e+01
-6.418440479518122288e+01,5.385992931730640976e+01
-6.401295335597224323e+01,5.385831971037282528e+01
-6.384151429835505098e+01,5.385631743009938077e+01
-6.367009292872614878e+01,5.385391540129079146e+01
-6.349868747828669768e+01,5.385110654875172997e+01
-6.332730325343317901e+01,5.384788379728688312e+01
-6.315594202296442461e+01,5.384423830290211299e+01
-6.298460378688044159e+01,5.384016652799977010e+01
-6.281329208277888654e+01,5.383566139738454126e+01
-6.264200867945856999e+01,5.383071406706227435e+01
-6.247075711451716273e+01,5.382531746183765620e+01
-6.229953561915583293e+01,5.381946627531422678e+01
-6.212835126856990087e+01,5.381315166349781975e+01
-6.195720052516169574e+01,5.380637008879078564e+01
-6.178609046412653782e+01,5.379911093840016179e+01
-6.161502108546443424e+01,5.379137067472828448e+01
-6.144399415797419550e+01,5.378313868498219108e+01
-6.127301145045466058e+01,5.377441143156423209e+01
-6.110207650050349315e+01,5.376518007048024117e+01
-6.093119107691950376e+01,5.375543752653493357e+01
-6.076035517970271371e+01,5.374517849333180664e+01
-6.058957411524959014e+01,5.373439412687672245e+01
-6.041884788356013303e+01,5.372308088957203154e+01
-6.024817825343318134e+01,5.371122816862477123e+01
-6.007756699366755981e+01,5.369883065763843888e+01
-5.990701941065974268e+01,5.368588128141773552e+01
-5.973653373561091939e+01,5.367237296476734798e+01
-5.956611350611872524e+01,5.365829863249196308e+01
-5.939576225978083812e+01,5.364365297819507816e+01
-5.922547822779841908e+01,5.362842715788258374e+01
-5.905526848536677420e+01,5.361261409635915243e+01
-5.888513126368708583e+01,5.359621025602712052e+01
-5.871507010035701057e+01,5.357920502409352537e+01
-5.854508676417536606e+01,5.356159309416187853e+01
-5.837518125514216649e+01,5.354338154142750739e+01
-5.820535003565974108e+01,5.352458097868336040e+01
