s_m,x_m,y_m,kappa
0.000000000000000000e+00,-6.983659914055878914e+01,5.373757448341849141e+01,-2.864147797644921514e-03
1.709154551330305527e-01,-6.966584816554578197e+01,5.374507097162553748e+01,-4.354528072011461769e-03
3.418785505569060801e-01,-6.949504233842979772e+01,5.375240237122845599e+01,-5.966323353584573018e-03
5.128873172762928867e-01,-6.932418349566867732e+01,5.375956157126871204e+01,-6.196611773276902019e-03
6.839381839414352404e-01,-6.915327507291239328e+01,5.376654082752246921e+01,-6.424600864266608730e-03
8.550292919919351142e-01,-6.898231891080912703e+01,5.377333478755102192e+01,-6.640795111848438181e-03
1.026158738506658397e+00,-6.881131676488998039e+01,5.377993429931193248e+01,-6.881134092503539239e-03
1.197324849263609492e+00,-6.864027044216942386e+01,5.378633687343771186e+01,-7.121759946009335179e-03
1.368525704067366178e+00,-6.846918155695450992e+01,5.379252767641107624e+01,-7.338258298938853987e-03
1.539757902149192281e+00,-6.829805388583331194e+01,5.379850980283642059e+01,-7.572420108741796663e-03
1.711021352631105996e+00,-6.812688718548965028e+01,5.380426568369290408e+01,-7.805824100479564175e-03
1.882312699181992954e+00,-6.795568524014797163e+01,5.380979915587960249e+01,-8.024846844881446464e-03
2.053628433095843420e+00,-6.778445128440367284e+01,5.381509189492481227e+01,-8.248674035220688455e-03
2.224970491804681316e+00,-6.761318390915224086e+01,5.382015027975280930e+01,-8.460951962100230622e-03
2.396333662872989656e+00,-6.744188805314985302e+01,5.382495299929443888e+01,-8.717593440281360892e-03
2.567718218619793547e+00,-6.727056411026774185e+01,5.382951068992198884e+01,-8.978791546807588647e-03
2.739120685585556991e+00,-6.709921513641221225e+01,5.383379261012285610e+01,-9.162192577406308089e-03
2.910539666876740039e+00,-6.692784343270891156e+01,5.383781831710859933e+01,-9.372302939866385130e-03
3.081973618053719832e+00,-6.675645026080103150e+01,5.384155733295597912e+01,-9.645213140991539327e-03
3.253421074928589452e+00,-6.658503789369174797e+01,5.384502588753280605e+01,-9.885307627785175702e-03
3.424880604021841801e+00,-6.641360755267531601e+01,5.384818947661322142e+01,-1.009884689871465985e-02
3.596349042751858516e+00,-6.624216334796237504e+01,5.385107220983997678e+01,-1.032448325368480642e-02
3.767826825597934359e+00,-6.607070471518898103e+01,5.385363487589008002e+01,-1.055932450790796756e-02
3.939310833932183620e+00,-6.589923573276792013e+01,5.385590493797442946e+01,-1.079577413248934518e-02
4.110798034450837690e+00,-6.572775943592642989e+01,5.385783873301378577e+01,-1.103127978563172261e-02
4.282290698700683684e+00,-6.555627451208306411e+01,5.385946808440179012e+01,-1.124889995092554287e-02
4.453784109098178234e+00,-6.538478585671835219e+01,5.386074514781698497e+01,-1.149394533199755639e-02
4.625278840252904367e+00,-6.521329382873194902e+01,5.386170803459247480e+01,-1.172841527846202846e-02
4.796772006911743880e+00,-6.504180168184610977e+01,5.386229944575411821e+01,-1.196403706026436843e-02
4.968262527448994881e+00,-6.487031137196399300e+01,5.386256824060689041e+01,-1.221753821520354596e-02
5.139749351658448262e+00,-6.469882459110999662e+01,5.386244629891028524e+01,-1.242757274803353573e-02
5.311231481536665022e+00,-6.452734306499620232e+01,5.386199125028242918e+01,-1.264425237186585053e-02
5.482707964902333586e+00,-6.435586873766021654e+01,5.386113135951751474e+01,-1.291732527399137853e-02
5.654176118066107648e+00,-6.418440481315450086e+01,5.385992714089385913e+01,-1.317553254401505544e-02
5.825635085886393227e+00,-6.401295359078793012e+01,5.385829741852287356e+01,-1.336377066234725741e-02
5.997085807106651956e+00,-6.384151434311793594e+01,5.385631394548467199e+01,-1.358184427569911375e-02
6.168523974944068122e+00,-6.367009327587133072e+01,5.385389256251517054e+01,-1.386696118427762844e-02
6.339952410209786393e+00,-6.349868751288672541e+01,5.385110458236499653e+01,-1.413010075187431068e-02
6.511366900998641682e+00,-6.332730376177268994e+01,5.384785842979853498e+01,-1.434458059509983834e-02
6.682766870450501884e+00,-6.315594208547573629e+01,5.384423552698494575e+01,-1.454535288284610969e-02
6.854153446201654454e+00,-6.298460445172778321e+01,5.384013996727254181e+01,-1.478783148188005971e-02
7.025524342785080201e+00,-6.281329214687764306e+01,5.383565907419863095e+01,-1.507031338464828556e-02
7.196879142631357418e+00,-6.264200951917505478e+01,5.383068626034183524e+01,-1.532648253302467713e-02
7.368215679368125492e+00,-6.247075719698805329e+01,5.382531495077068229e+01,-1.554518192193717063e-02
7.539537079717468337e+00,-6.229953671187580966e+01,5.381943552090139349e+01,-1.575941208476749206e-02
7.710837813473532698e+00,-6.212835137586935019e+01,5.381314885869306863e+01,-1.600529301567140891e-02
7.882122813135286954e+00,-6.195720182023616474e+01,5.380633851981087901e+01,-1.627224400522573125e-02
8.053386740415884759e+00,-6.178609057176281283e+01,5.379910848291852687e+01,-1.653101684210400019e-02
8.224631089600579870e+00,-6.161502266136636052e+01,5.379133692192467464e+01,-1.675948734403869683e-02
8.395855963773831476e+00,-6.144399438137457992e+01,5.378313417977958011e+01,-1.696010639986427274e-02
8.567061196625653352e+00,-6.127301333898340374e+01,5.377437547561323328e+01,-1.724504482684389647e-02
8.738245181761435276e+00,-6.110207663918679799e+01,5.376517757206880788e+01,-1.753738521579514126e-02
8.909408043987323111e+00,-6.093119330016077839e+01,5.375539954319400238e+01,-1.772857825860188127e-02
9.080551639119587293e+00,-6.076035549879470921e+01,5.374517331323355052e+01,-1.794733643938284384e-02
